class,samples,rouge1,rougeL,word_exact%,word_within_tol%,avg_word_distance,sent_exact%,avg_sent_distance
sent_1,97,0.31624415543200296,0.2353999606363857,0.0,0.0,0.0,1.0,0.0
sent_2,98,0.3383695093435108,0.22107623636386764,0.0,0.0,0.0,0.9897959183673469,0.01020408163265306
sent_3,98,0.35968135358510767,0.21864213497840432,0.0,0.0,0.0,0.8673469387755102,0.3163265306122449
sent_4,98,0.3872678083588025,0.2367707843149664,0.0,0.0,0.0,0.9081632653061225,0.17346938775510204
sent_5,92,0.400357761469518,0.23177316581840113,0.0,0.0,0.0,0.8478260869565217,0.16304347826086957
sent_6,93,0.392007026005333,0.22189791891259797,0.0,0.0,0.0,0.6989247311827957,0.3118279569892473
word_100,90,0.390740846974385,0.23831232246778727,0.0,0.2222222222222222,20.58888888888889,0.0,0.0
word_150,88,0.4436342338269865,0.25465894487908647,0.011363636363636364,0.13636363636363635,23.90909090909091,0.0,0.0
word_200,56,0.4559196831297233,0.24580243731797163,0.0,0.08928571428571429,31.410714285714285,0.0,0.0
word_250,30,0.4699073007175002,0.2562512540436753,0.03333333333333333,0.1,49.93333333333333,0.0,0.0
word_300,19,0.4866095739211352,0.25663333411969413,0.0,0.0,98.52631578947368,0.0,0.0
word_50,95,0.3434459635272759,0.22038575384747724,0.021052631578947368,0.22105263157894736,11.2,0.0,0.0
